영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명,누적관객수
20200162,소년시절의 너,Better Days,2019,20200709,장편,개봉,중국,"멜로/로맨스,드라마,범죄,가족",중국,멜로/로맨스,[{'peopleNm': '증국상'}],정보 없음,정보 없음,4168033
20207561,싸움의 기술 2,The Art of Fighting 2,2020,20200522,장편,개봉,한국,액션,한국,액션,[{'peopleNm': '김희성'}],정보 없음,정보 없음,12539003
20190972,싸움의 기술,The Art of Fighting,2019,20200227,장편,개봉,한국,액션,한국,액션,[{'peopleNm': '김희성'}],정보 없음,정보 없음,622619
20193385,하이큐!! 땅 VS 하늘,Haikyu!! OVA4 and Haikyu!! OVA5,2019,20200123,장편,개봉,일본,애니메이션,일본,애니메이션,[{'peopleNm': '미츠나카 스스무'}],정보 없음,정보 없음,749094
20206141,바이올렛 에버가든 – 영원과 자동 수기 인형 -, Violet Evergarden - Eternity and the Auto Memory Doll,2019,20200326,장편,개봉,일본,애니메이션,일본,애니메이션,[{'peopleNm': '후지타 하루카'}],정보 없음,정보 없음,845060
20206547,극장판 바이올렛 에버가든,Violet Evergarden: The Movie,2020,20201112,장편,개봉,일본,"애니메이션,드라마,판타지",일본,애니메이션,[{'peopleNm': '이시다테 타이치'}],정보 없음,정보 없음,396373
20195711,너는 달밤에 빛나고,You Shine In The Moonlight,2019,20200610,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,[{'peopleNm': '츠키카와 쇼'}],정보 없음,정보 없음,428300
20192697,미스터 보스,Mr. Boss,2020,20201230,장편,개봉,한국,"드라마,액션",한국,드라마,[{'peopleNm': '김형기'}],정보 없음,정보 없음,357851
20206082,들리나요?,,2020,20200610,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,"[{'peopleNm': '김봉한'}, {'peopleNm': '신승환'}]",정보 없음,정보 없음,4822351
20193862,엄마 바람피게하기 ,Make Mom Have Affair,2019,20200116,장편,개봉,한국,"코미디,드라마",한국,코미디,[{'peopleNm': '윤원규'}],정보 없음,정보 없음,60669
20205621,시호,First Love,2019,20200227,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '홍수동'}],정보 없음,정보 없음,649101
20207341,레이니 데이 인 뉴욕, A Rainy Day in New York,2019,20200506,장편,개봉,미국,"코미디,멜로/로맨스",미국,코미디,[{'peopleNm': '우디 앨런'}],정보 없음,정보 없음,994333
20208261,범털,King of Prison,2020,20200514,장편,개봉,한국,"드라마,범죄",한국,드라마,[{'peopleNm': '강태호'}],정보 없음,정보 없음,12782344
20124722,피아니스트의 전설,The Legend Of 1900,1998,20200101,장편,개봉,이탈리아,"드라마,판타지,뮤지컬",이탈리아,드라마,[{'peopleNm': '쥬세페 토르나토레'}],정보 없음,정보 없음,4388553
20183791,바다로 가자,Forbidden Fatherland,2018,20200618,장편,개봉,한국,"가족,다큐멘터리,전쟁",한국,가족,[{'peopleNm': '김량'}],정보 없음,정보 없음,141143
